 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
50424,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,SAN DIEGO,CA,92037,8584559100,96,4,0,98,88,9,3,93,84,14,2,93,86,13,1,95,2,2225,599,27,10/1/2017,9/30/2018
50438,HUNTINGTON MEMORIAL HOSPITAL,100 W CALIFORNIA BLVD,PASADENA,LOS ANGELES,CA,91109,6263975000,97,3,0,98,87,11,2,93,86,13,1,95,84,13,3,93,,1443,382,27,10/1/2017,9/30/2018
50485,LONG BEACH MEMORIAL MEDICAL CENTER,2801 ATLANTIC AVE,LONG BEACH,LOS ANGELES,CA,90806,5629332000,97,2,1,98,90,8,2,94,89,11,0,95,89,8,3,94,3,331,68,28,10/1/2017,9/30/2018
50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST ST,CONCORD,CONTRA COSTA,CA,94520,9256828200,99,1,0,99,90,7,3,93,89,9,2,95,86,11,3,93,,614,159,26,10/1/2017,9/30/2018
50502,SAINT VINCENT MEDICAL CENTER,2131 W 3RD ST,LOS ANGELES,LOS ANGELES,CA,90057,2134847111,92,6,2,95,85,10,5,90,75,18,7,89,73,20,7,87,,2840,513,18,10/1/2017,9/30/2018
50503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,SAN DIEGO,CA,92024,7607536501,96,3,1,98,89,8,3,93,85,12,3,93,85,13,2,94,2,1612,437,27,10/1/2017,9/30/2018
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,ORANGE,CA,92691,9493641400,,,,,,,,,,,,,,,,,4,,,,,
50568,MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVE,MADERA,MADERA,CA,93637,5596755555,92,7,1,96,86,12,2,92,69,27,4,89,63,32,5,85,,1115,207,19,10/1/2017,9/30/2018
50597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 S GRAND AVE,GLENDORA,LOS ANGELES,CA,91740,6269638411,97,3,0,98,90,7,3,94,86,11,3,94,83,13,4,92,,1488,376,25,10/1/2017,9/30/2018
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,SACRAMENTO,CA,95817,9167342011,97,3,0,98,94,5,1,96,89,9,2,95,89,9,2,95,,3955,1076,27,10/1/2017,9/30/2018
50603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,ORANGE,CA,92653,9498374500,97,3,0,98,88,10,2,93,83,14,3,93,81,16,3,92,,1247,249,32,10/1/2017,9/30/2018
50624,HENRY MAYO NEWHALL  HOSPITAL,23845 MCBEAN PKWY,VALENCIA,LOS ANGELES,CA,91355,6612538000,96,3,1,97,89,9,2,93,81,18,1,93,80,19,1,93,,1693,425,25,10/1/2017,9/30/2018
50625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,LOS ANGELES,CA,90048,3104235000,96,3,1,98,89,9,2,93,90,8,2,95,90,8,2,96,,4337,1049,24,10/1/2017,9/30/2018
50660,USC KENNETH NORRIS JR CANCER HOSPITAL,1441 EASTLAKE AVE,LOS ANGELES,,CA,90033,,96,3,1,98,92,6,2,95,84,12,4,94,89,9,2,95,,771,189,25,10/1/2017,9/30/2018
50678,ORANGE COAST MEMORIAL MEDICAL CENTER,9920 TALBERT AVENUE,FOUNTAIN VALLEY,ORANGE,CA,92708,7143787406,98,2,0,99,87,10,3,92,86,13,1,94,87,11,2,95,,626,119,26,10/1/2017,9/30/2018
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,RIVERSIDE,CA,92585,9516798888,89,9,2,94,80,14,6,87,71,20,9,87,69,22,9,85,,798,156,20,10/1/2017,9/30/2018
50688,ST LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,GILROY,SANTA CLARA,CA,95020,4088482000,96,3,1,98,87,9,4,92,75,20,5,91,73,24,3,90,,1104,263,24,10/1/2017,9/30/2018
50696,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,LOS ANGELES,CA,90033,3234428656,96,3,1,98,90,9,1,94,88,9,3,95,86,12,2,95,,3155,719,23,10/1/2017,9/30/2018
50701,SOUTHWEST HEALTHCARE SYSTEM,25500 MEDICAL CENTER DRIVE,MURRIETA,RIVERSIDE,CA,92562,9516966000,96,3,1,98,90,8,2,94,80,17,3,92,79,18,3,92,,1936,493,25,10/1/2017,9/30/2018
50727,COMMUNITY HOSPITAL OF LONG BEACH,1720 TERMINO AVENUE,LONG BEACH,LOS ANGELES,CA,90804,5624940600,,,,,,,,,,,,,,,,,4,,,,,
50735,WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA RD,WHITTIER,LOS ANGELES,CA,90605,5629453561,93,6,1,96,84,12,4,90,80,18,2,92,82,15,3,93,,1475,252,19,10/1/2017,9/30/2018
50736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,LOS ANGELES,CA,91754,6265709000,93,5,2,95,85,10,5,90,78,16,6,91,83,15,2,94,,1194,361,32,10/1/2017,9/30/2018
50737,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,LOS ANGELES,CA,91754,6265732222,90,8,2,94,85,11,4,90,73,19,8,89,71,23,6,88,,3063,265,13,10/1/2017,9/30/2018
50738,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVE,SOUTH EL MONTE,LOS ANGELES,CA,91733,6263507975,92,6,2,95,80,14,6,87,74,20,6,89,76,19,5,90,,386,108,30,10/1/2017,9/30/2018
50742,OLYMPIA MEDICAL CENTER,5900 WEST OLYMPIC BOULEVARD,LOS ANGELES,LOS ANGELES,CA,90036,3106575900,89,9,2,94,82,13,5,88,71,23,6,89,71,23,6,87,2,939,134,15,10/1/2017,9/30/2018
50751,MIRACLE MILE MEDICAL CENTER,6000 SAN VICENTE BLVD,LOS ANGELES,LOS ANGELES,CA,90036,3239301040,93,5,2,95,88,7,5,92,75,22,3,91,71,26,3,88,3,166,31,19,10/1/2017,9/30/2018
50761,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,LOS ANGELES,CA,91356,8188810800,94,6,0,97,84,11,5,90,76,21,3,91,76,20,4,90,,1702,385,23,10/1/2017,9/30/2018
50769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,ORANGE,CA,92618,9497275000,97,3,0,98,89,8,3,93,89,10,1,96,90,9,1,96,,822,311,38,10/1/2017,9/30/2018
50773,SAN LEANDRO HOSPITAL,13855 E 14TH STREET,SAN LEANDRO,ALAMEDA,CA,94578,5103576500,,,,,,,,,,,,,,,,,4,,,,,
50775,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,RIVERSIDE,CA,92592,9513312200,96,3,1,98,87,10,3,92,87,11,2,94,85,12,3,94,,1307,432,33,10/1/2017,9/30/2018
51316,FAIRCHILD MEDICAL CENTER,444 BRUCE STREET,YREKA,SISKIYOU,CA,96097,5308424121,,,,,,,,,,,,,,,,,4,,,,,
51318,REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,FORTUNA,HUMBOLDT,CA,95540,7074458121,,,,,,,,,,,,,,,,,4,,,,,
51321,HEALDSBURG DISTRICT HOSPITAL,1375 UNIVERSITY AVENUE,HEALDSBURG,SONOMA,CA,95448,7074316500,97,3,0,98,92,6,2,95,81,16,3,92,82,16,2,93,,1166,347,30,10/1/2017,9/30/2018
51331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,SOLVANG,SANTA BARBARA,CA,93463,8056886431,98,2,0,99,89,9,2,94,90,9,1,96,91,7,2,96,,780,314,40,10/1/2017,9/30/2018
60003,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,LONGMONT,BOULDER,CO,80501,3036515111,98,2,0,99,92,7,1,95,85,13,2,94,82,16,2,93,,1683,433,26,10/1/2017,9/30/2018
60004,PLATTE VALLEY MEDICAL CENTER,1600 PRAIRIE CENTER PARKWAY,BRIGHTON,ADAMS,CO,80601,3034981601,97,3,0,98,90,8,2,94,87,10,3,94,84,15,1,94,,2905,622,21,10/1/2017,9/30/2018
60006,MONTROSE MEMORIAL HOSPITAL,800 SOUTH 3RD STREET,MONTROSE,MONTROSE,CO,81401,9702492211,96,3,1,98,88,10,2,93,79,18,3,92,76,22,2,91,,1157,320,28,10/1/2017,9/30/2018
60009,LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,JEFFERSON,CO,80033,3034254500,97,3,0,98,89,9,2,93,86,11,3,94,85,12,3,94,,3959,1121,28,10/1/2017,9/30/2018
60011,DENVER HEALTH & HOSPITAL AUTHORITY,777 BANNOCK STREET,DENVER,DENVER,CO,80204,3036024930,94,5,1,97,91,7,2,94,84,13,3,93,81,16,3,92,,2004,443,23,10/1/2017,9/30/2018
60012,"ST MARY CORWIN MED CTR, CENTURA HEALTH",1008 MINNEQUA AVE,PUEBLO,PUEBLO,CO,81004,7195574000,96,4,0,98,88,9,3,92,80,15,5,92,76,22,2,91,,2321,507,22,10/1/2017,9/30/2018
60013,MERCY REGIONAL MEDICAL CENTER,1010 THREE SPRINGS BLVD,DURANGO,LA PLATA,CO,81301,9702474311,96,4,0,98,91,8,1,95,85,12,3,94,83,16,1,94,,2450,606,27,10/1/2017,9/30/2018
60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,JEFFERSON,CO,80228,7203210000,96,3,1,98,91,7,2,94,86,10,4,94,84,13,3,93,,1729,421,25,10/1/2017,9/30/2018
60023,ST MARYS MEDICAL CENTER,2635 N 7TH STREET,GRAND JUNCTION,MESA,CO,81502,9702981950,96,3,1,98,89,9,2,94,79,18,3,92,80,18,2,92,,3556,1021,29,10/1/2017,9/30/2018
60027,BOULDER COMMUNITY HEALTH,4747 ARAPAHOE AVENUE,BOULDER,BOULDER,CO,80303,3034157000,95,4,1,97,89,9,2,94,83,14,3,92,81,16,3,92,,1028,283,28,10/1/2017,9/30/2018
60028,SAINT JOSEPH HOSPITAL,1375 EAST 19TH AVENUE,DENVER,DENVER,CO,80218,3038122000,97,3,0,98,91,8,1,95,88,11,1,95,87,11,2,95,,7641,2243,29,10/1/2017,9/30/2018
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 NORTH NEVADA AVENUE,COLORADO SPRINGS,EL PASO,CO,80907,7197765000,96,4,0,98,91,8,1,95,84,14,2,94,83,16,1,94,,2830,832,30,10/1/2017,9/30/2018
60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 SOUTH DOWNING STREET,DENVER,DENVER,CO,80210,3037781955,96,3,1,98,90,8,2,94,81,17,2,93,79,19,2,92,,1427,398,29,10/1/2017,9/30/2018
60075,VALLEY VIEW HOSPITAL ASSOCIATION,1906 BLAKE AVE,GLENWOOD SPRINGS,GARFIELD,CO,81601,9709456535,,,,,,,,,,,,,,,,,4,,,,,
60096,VAIL HEALTH HOSPITAL,181 WEST MEADOW DRIVE,VAIL,EAGLE,CO,81657,9704762451,,,,,,,,,,,,,,,,,4,,,,,
60103,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DRIVE,LOUISVILLE,BOULDER,CO,80027,3036731280,97,3,0,99,94,5,1,97,90,9,1,95,90,8,2,96,,1318,340,26,10/1/2017,9/30/2018
60104,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PARKWAY,WESTMINSTER,BROOMFIELD,CO,80023,7206270000,97,3,0,98,91,8,1,95,88,11,1,95,84,15,1,94,,1807,406,23,10/1/2017,9/30/2018
60113,"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH",7700 S BROADWAY,LITTLETON,ARAPAHOE,CO,80122,3037308900,96,3,1,98,91,7,2,95,85,13,2,94,85,14,1,94,,1228,353,29,10/1/2017,9/30/2018
60114,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,DOUGLAS,CO,80138,3032694000,97,3,0,98,91,8,1,95,92,7,1,96,88,11,1,95,,1909,472,25,10/1/2017,9/30/2018
60116,GOOD SAMARITAN MEDICAL CENTER LLC,200 EXEMPLA CIRCLE,LAFAYETTE,BOULDER,CO,80026,3036894000,97,3,0,98,90,8,2,94,87,11,2,94,86,12,2,94,,9930,2897,29,10/1/2017,9/30/2018
60118,ST. ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DRIVE,FRISCO,SUMMIT,CO,80443,9706683300,98,2,0,99,91,8,1,95,87,12,1,95,87,11,2,94,,432,132,32,10/1/2017,9/30/2018
60124,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,11650 WEST 2ND PLACE,LAKEWOOD,JEFFERSON,CO,80228,7203215000,99,1,0,99,91,8,1,95,94,5,1,97,93,6,1,97,,1108,348,32,10/1/2017,9/30/2018
60125,CASTLE ROCK ADVENTIST HOSPITAL,2350 MEADOWS BOULEVARD,CASTLE ROCK,DOUGLAS,CO,80109,7204552500,97,2,1,98,94,5,1,96,90,7,3,95,89,10,1,96,,2135,510,24,10/1/2017,9/30/2018
61309,WRAY COMMUNITY DISTRICT HOSPITAL,1017 WEST 7TH STREET,WRAY,YUMA,CO,80758,9703324811,,,,,,,,,,,,,,,,,4,,,,,
61312,ESTES PARK MEDICAL CENTER,555 PROSPECT AVENUE,ESTES PARK,LARIMER,CO,80517,9705774470,,,,,,,,,,,,,,,,,4,,,,,
61317,GRAND RIVER HOSPITAL DISTRICT,501 AIRPORT ROAD,RIFLE,GARFIELD,CO,81650,9706251510,96,4,0,98,92,7,1,96,84,14,2,93,81,18,1,93,,1026,235,23,10/1/2017,9/30/2018
61322,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,1000 RUSH DRIVE,SALIDA,CHAFFEE,CO,81201,7195302200,98,2,0,99,93,6,1,96,88,10,2,94,85,15,0,95,,639,207,32,10/1/2017,9/30/2018
61326,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,16420 W HIGHWAY 24,WOODLAND PARK,TELLER,CO,80863,7196879999,,,,,,,,,,,,,,,,,4,,,,,
70003,DAY KIMBALL HOSPITAL,320 POMFRET STREET,PUTNAM,WINDHAM,CT,6260,8609286541,,,,,,,,,,,,,,,,,4,,,,,
70007,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,NEW LONDON,CT,6320,8604420711,97,2,1,98,92,7,1,95,84,14,2,94,85,13,2,94,,1571,402,26,10/1/2017,9/30/2018
70011,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,LITCHFIELD,CT,6790,8604966666,,,,,,,,,,,,,,,,,4,,,,,
70028,ST. VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,FAIRFIELD,CT,6606,2035765551,98,2,0,99,90,8,2,94,89,10,1,96,89,10,1,96,,2101,454,23,10/1/2017,9/30/2018
70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,FAIRFIELD,CT,6810,2037397000,97,3,0,99,91,8,1,95,88,10,2,95,86,12,2,95,,2199,580,26,10/1/2017,9/30/2018
70034,NORWALK HOSPITAL ASSOCIATION,24 STEVENS STREET,NORWALK,FAIRFIELD,CT,6856,2038522000,98,2,0,99,89,8,3,93,88,10,2,95,87,12,1,96,,1226,302,25,10/1/2017,9/30/2018
80001,CHRISTIANA HOSPITAL,4755 OGLETOWN-STANTON ROAD,NEWARK,NEW CASTLE,DE,19718,3027331000,98,2,0,99,91,7,2,94,90,8,2,95,88,11,1,96,,2602,589,25,10/1/2017,9/30/2018
80004,"BAYHEALTH HOSPITAL, KENT CAMPUS",640 S STATE STREET,DOVER,KENT,DE,19901,3027447001,97,3,0,98,91,8,1,95,80,18,2,92,73,26,1,90,,871,224,27,10/1/2017,9/30/2018
80009,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,SUSSEX,DE,19963,3024223311,97,3,0,98,95,5,0,98,89,8,3,94,80,18,2,92,,873,265,31,10/1/2017,9/30/2018
90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,THE DISTRICT,DC,20037,2027164605,92,7,1,95,87,11,2,92,74,21,5,90,76,20,4,90,,1142,220,19,10/1/2017,9/30/2018
90004,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,THE DISTRICT,DC,20007,2027843000,97,3,0,98,92,7,1,95,84,13,3,93,83,13,4,92,,1779,415,23,10/1/2017,9/30/2018
90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,THE DISTRICT,DC,20010,2028777000,93,6,1,96,90,8,2,94,77,17,6,91,75,19,6,89,,7435,1381,19,10/1/2017,9/30/2018
100002,BETHESDA  HOSPITAL INC,2815 S SEACREST BLVD,BOYNTON BEACH,PALM BEACH,FL,33435,5617377733,96,4,0,98,85,11,4,91,79,16,5,92,81,17,2,92,,1520,447,29,10/1/2017,9/30/2018
100006,ORLANDO HEALTH,52 W UNDERWOOD ST,ORLANDO,ORANGE,FL,32806,3218438000,95,4,1,97,90,8,2,94,89,9,2,95,85,13,2,94,,2859,557,20,10/1/2017,9/30/2018
100017,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,VOLUSIA,FL,32114,3862544000,,,,,,,,,,,,,,,,,4,,,,,
100018,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NAPLES,COLLIER,FL,34102,2394365000,,,,,,,,,,,,,,,,,4,,,,,
100019,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,BREVARD,FL,32901,3214347000,,,,,,,,,,,,,,,,,4,,,,,
100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,BREVARD,FL,32796,3212686111,95,3,2,97,90,7,3,94,82,15,3,93,81,16,3,92,,1629,386,25,10/1/2017,9/30/2018
100030,HEALTH CENTRAL,10000 W COLONIAL DR,OCOEE,ORANGE,FL,34761,4072961820,97,3,0,98,91,8,1,95,90,9,1,95,86,12,2,94,,1258,313,25,10/1/2017,9/30/2018
100034,MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,MIAMI BEACH,MIAMI-DADE,FL,33140,3056742121,96,3,1,98,89,8,3,93,85,12,3,94,85,12,3,94,,5855,1319,23,10/1/2017,9/30/2018
100035,MANATEE MEMORIAL HOSPITAL,206 2ND ST E,BRADENTON,MANATEE,FL,34208,9417465111,96,4,0,98,87,9,4,92,80,16,4,92,77,21,2,92,,982,319,33,10/1/2017,9/30/2018
100039,BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,BROWARD,FL,33316,9543554400,94,5,1,96,88,10,2,93,74,21,5,91,72,24,4,89,,736,133,18,10/1/2017,9/30/2018
100044,MARTIN MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,MARTIN,FL,34995,7722875200,,,,,,,,,,,,,,,,,4,,,,,
100051,SOUTH LAKE HOSPITAL,1900 DON WICKHAM DR,CLERMONT,LAKE,FL,34711,3523944071,97,2,1,98,89,9,2,94,87,9,4,94,87,11,2,95,,1414,392,28,10/1/2017,9/30/2018
100079,UNIVERSITY OF MIAMI HOSPITAL & CLINICS-SYLVESTER COMPREHENSIVE CANCER CENTER,1475 NW 12TH AVE,MIAMI,,FL,33136,,,,,,,,,,,,,,,,,,4,,,,,
100086,BROWARD HEALTH NORTH,201 E SAMPLE RD,POMPANO BEACH,BROWARD,FL,33064,9547866950,98,1,1,99,91,8,1,95,85,14,1,95,83,14,3,92,,864,190,22,10/1/2017,9/30/2018
100088,BAPTIST MEDICAL CENTER JACKSONVILLE,800 PRUDENTIAL DR,JACKSONVILLE,DUVAL,FL,32207,9042022000,,,,,,,,,,,,,,,,,4,,,,,
100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,ST. JOHNS,FL,32086,9048194426,97,3,0,98,90,7,3,93,87,11,2,94,85,13,2,94,,3661,1167,32,10/1/2017,9/30/2018
100113,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,ALACHUA,FL,32610,3522658000,95,4,1,97,92,7,1,96,87,11,2,95,88,10,2,95,,9666,2150,24,10/1/2017,9/30/2018
100117,BAPTIST MEDICAL CENTER  BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,DUVAL,FL,32250,9042472900,,,,,,,,,,,,,,,,,4,,,,,
100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIR,TAMPA,HILLSBOROUGH,FL,33606,8138447000,97,2,1,98,91,7,2,94,88,9,3,95,88,10,2,95,,11217,3071,27,10/1/2017,9/30/2018
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,PALM BEACH,FL,33430,5619966571,100,0,0,100,87,12,1,93,100,0,0,90,99,1,0,100,1,135,2,2,10/1/2017,9/30/2018
100140,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,FERNANDINA BEACH,NASSAU,FL,32034,9043213500,,,,,,,,,,,,,,,,,4,,,,,
100168,BOCA RATON REGIONAL HOSPITAL,800 MEADOWS RD,BOCA RATON,PALM BEACH,FL,33486,5613625002,96,4,0,98,88,8,4,92,83,14,3,93,83,15,2,93,2,4841,1570,32,10/1/2017,9/30/2018
100175,DESOTO MEMORIAL HOSPITAL,900 N ROBERT AVE,ARCADIA,DE SOTO,FL,34265,8634943535,96,3,1,98,91,7,2,95,81,15,4,92,81,17,2,93,,917,232,27,10/1/2017,9/30/2018
100177,CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CAUSEWAY,COCOA BEACH,BREVARD,FL,32932,3217997111,,,,,,,,,,,,,,,,,4,,,,,
100181,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,SOUTH MIAMI,MIAMI-DADE,FL,33143,3052847500,,,,,,,,,,,,,,,,,4,,,,,
100200,BROWARD HEALTH IMPERIAL POINT,6401 N FEDERAL HWY,FORT LAUDERDALE,BROWARD,FL,33308,9547768500,98,2,0,99,91,7,2,94,86,11,3,95,85,12,3,94,,800,222,28,10/1/2017,9/30/2018
100275,WELLINGTON REGIONAL MEDICAL CENTER LLC,10101 FOREST HILL BLVD,WELLINGTON,PALM BEACH,FL,33414,5617988500,96,3,1,98,87,10,3,92,81,15,4,92,78,19,3,91,,1208,301,25,10/1/2017,9/30/2018
100276,BROWARD HEALTH CORAL SPRINGS,3000 CORAL HILLS DR,CORAL SPRINGS,BROWARD,FL,33065,9543443000,95,4,1,97,89,8,3,93,82,14,4,92,80,16,4,91,,1620,289,18,10/1/2017,9/30/2018
100299,LAKEWOOD RANCH MEDICAL CENTER,8330 LAKEWOOD RANCH BLVD,BRADENTON,MANATEE,FL,34202,9417822100,96,4,0,98,87,10,3,92,82,15,3,93,82,16,2,93,,866,310,36,10/1/2017,9/30/2018
100315,VIERA HOSPITAL,8745 N WICKHAM RD,MELBOURNE,BREVARD,FL,32940,3214349000,,,,,,,,,,,,,,,,,4,,,,,
100316,PALM BAY HOSPITAL,"1425 MALABAR RD, NE",PALM BAY,BREVARD,FL,32907,3214348000,,,,,,,,,,,,,,,,,4,,,,,
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,WHITFIELD,GA,30720,7062726105,,,,,,,,,,,,,,,,,4,,,,,
110005,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,FORSYTH,GA,30041,7708443200,,,,,,,,,,,,,,,,,4,,,,,
110008,NORTHSIDE HOSPITAL CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,CHEROKEE,GA,30115,7702441000,,,,,,,,,,,,,,,,,4,,,,,
110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,DE KALB,GA,30322,4046868500,96,4,0,98,90,8,2,94,86,12,2,94,88,10,2,95,,2129,437,21,10/1/2017,9/30/2018
110011,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,CARROLL,GA,30117,7708369580,,,,,,,,,,,,,,,,,4,,,,,
110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,CARROLL,GA,30180,7704563101,,,,,,,,,,,,,,,,,4,,,,,
110016,WELLSTAR WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,LAGRANGE,TROUP,GA,30240,7068821411,96,3,1,98,92,6,2,95,84,14,2,94,79,18,3,91,,1685,294,18,10/1/2017,9/30/2018
110018,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE NE,COVINGTON,NEWTON,GA,30014,7707867053,98,2,0,99,92,7,1,95,85,13,2,93,80,18,2,92,,1515,361,24,10/1/2017,9/30/2018
110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,SAVANNAH,CHATHAM,GA,31412,9128196000,94,5,1,97,91,7,2,95,84,14,2,94,84,14,2,93,,3697,928,25,10/1/2017,9/30/2018
110026,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,ELBERTON,ELBERT,GA,30635,7062132535,,,,,,,,,,,,,,,,,4,,,,,
110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,AUGUSTA,RICHMOND,GA,30901,7067229011,97,2,1,98,92,6,2,95,85,13,2,94,85,13,2,94,,3480,985,28,10/1/2017,9/30/2018
110031,WELLSTAR SPALDING REGIONAL HOSPITAL,601 SOUTH 8TH STREET,GRIFFIN,SPALDING,GA,30223,7702282721,96,4,0,98,86,12,2,92,76,21,3,91,67,30,3,87,,2055,498,24,10/1/2017,9/30/2018
110034,GEORGIA HEALTH SCIENCES MEDICAL CENTER,1120 15TH STREET,AUGUSTA,RICHMOND,GA,30912,7067216569,88,10,2,93,72,28,0,86,65,35,0,92,63,37,0,88,3,99,13,13,10/1/2017,9/30/2018
110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,MARIETTA,COBB,GA,30060,7707935000,96,3,1,98,91,7,2,95,87,10,3,94,86,11,3,94,,2418,564,24,10/1/2017,9/30/2018
110036,MEMORIAL UNIVERSITY MEDICAL CENTER,4700 WATERS AVENUE,SAVANNAH,CHATHAM,GA,31404,9123503691,,,,,,,,,,,,,,,,,4,,,,,
